year,combineRevenuMoins,combineRevenuPlus,combineTaux,montantImpot,inflation,combineRevenuMoinsAjuste,combineRevenuPlusAjuste
1929,0,2000,0.02,0,9.2,0.00,28869.57
1929,2000,3000,0.03,40,9.2,28869.57,43304.35
1929,3000,4000,0.04,70,9.2,43304.35,57739.13
1929,4000,5000,0.05,110,9.2,57739.13,72173.91
1929,5000,6000,0.06,160,9.2,72173.91,86608.70
1929,6000,7000,0.07,220,9.2,86608.70,101043.48
1929,7000,8000,0.08,290,9.2,101043.48,115478.26
1929,8000,9000,0.09,370,9.2,115478.26,129913.04
1929,9000,10000,0.1,460,9.2,129913.04,144347.83
1929,10000,11000,0.11,560,9.2,144347.83,158782.61
1929,11000,12000,0.12,670,9.2,158782.61,173217.39
1929,12000,13000,0.13,790,9.2,173217.39,187652.17
1929,13000,14000,0.14,920,9.2,187652.17,202086.96
1929,14000,15000,0.15,1060,9.2,202086.96,216521.74
1929,15000,16000,0.16,1210,9.2,216521.74,230956.52
1929,16000,17000,0.17,1370,9.2,230956.52,245391.30
1929,17000,18000,0.18,1540,9.2,245391.30,259826.09
1929,18000,19000,0.19,1720,9.2,259826.09,274260.87
1929,19000,20000,0.2,1910,9.2,274260.87,288695.65
1929,20000,25000,0.21,2110,9.2,288695.65,360869.57
1929,25000,30000,0.22,3160,9.2,360869.57,433043.48
1929,30000,35000,0.23,4260,9.2,433043.48,505217.39
1929,35000,40000,0.24,5410,9.2,505217.39,577391.30
1929,40000,45000,0.25,6610,9.2,577391.30,649565.22
1929,45000,50000,0.26,7860,9.2,649565.22,721739.13
1929,50000,55000,0.27,9160,9.2,721739.13,793913.04
1929,55000,60000,0.28,10510,9.2,793913.04,866086.96
1929,60000,65000,0.29,11910,9.2,866086.96,938260.87
1929,65000,70000,0.3,13360,9.2,938260.87,1010434.78
1929,70000,75000,0.31,14860,9.2,1010434.78,1082608.70
1929,75000,80000,0.32,16410,9.2,1082608.70,1154782.61
1929,80000,85000,0.33,18010,9.2,1154782.61,1226956.52
1929,85000,90000,0.34,19660,9.2,1226956.52,1299130.43
1929,90000,95000,0.35,21360,9.2,1299130.43,1371304.35
1929,95000,100000,0.36,23110,9.2,1371304.35,1443478.26
1929,100000,110000,0.37,24910,9.2,1443478.26,1587826.09
1929,110000,120000,0.38,28610,9.2,1587826.09,1732173.91
1929,120000,130000,0.39,32410,9.2,1732173.91,1876521.74
1929,130000,140000,0.4,36310,9.2,1876521.74,2020869.57
1929,140000,150000,0.41,40310,9.2,2020869.57,2165217.39
1929,150000,175000,0.42,44410,9.2,2165217.39,2526086.96
1929,175000,200000,0.43,54910,9.2,2526086.96,2886956.52
1929,200000,250000,0.44,65660,9.2,2886956.52,3608695.65
1929,250000,300000,0.45,87660,9.2,3608695.65,4330434.78
1929,300000,350000,0.46,110160,9.2,4330434.78,5052173.91
1929,350000,400000,0.47,133160,9.2,5052173.91,5773913.04
1929,400000,450000,0.48,156660,9.2,5773913.04,6495652.17
1929,450000,500000,0.49,180660,9.2,6495652.17,7217391.30
